"X","X0","X1","X2","X3","surname","firstname","good_closest","bad_closest","good_closest_norm","bad_closest_norm","score","party","state","district","zero","info"
"Ralph Abraham",-32.917106065,-0.798302958684,-0.165800062349,1.5816567809,"abraham","ralph",69.5195947214,1.78886134909,0.974913755708,0.0250862442923,0.474913755708,1,"LA",5,0,"Ralph Abraham, LA"
"Alma Adams",38.3761924257,-0.173541499137,0.456597260357,-0.372084250723,"adams","alma",1.71880714658,67.6806028431,0.0247668841398,0.97523311586,-0.47523311586,0,"NC",12,0,"Alma Adams, NC"
"Robert B. Aderholt",-31.1144746314,-1.75589909276,-5.03263533891,-0.588195366758,"aderholt","robert",67.8923213597,1.42281961022,0.979473177284,0.020526822716,0.479473177284,1,"AL",4,0,"Robert B. Aderholt, AL"
"Pete Aguilar",34.7338877557,-2.26466972463,-4.73922650321,8.79427633306,"aguilar","pete",5.59905299589,63.3289830546,0.0812304153247,0.918769584675,-0.418769584675,0,"CA",31,0,"Pete Aguilar, CA"
"Rick Allen",-33.6607022548,-0.155271861606,3.85065006633,3.67891338628,"allen","rick",70.392730596,4.44317551386,0.940627758187,0.0593722418131,0.440627758187,1,"GA",12,0,"Rick Allen, GA"
"Justin Amash",-23.3646423352,0.27419656237,16.0024278221,-9.30608097336,"amash","justin",62.2599234861,10.906545641,0.85093519243,0.14906480757,0.35093519243,1,"MI",3,0,"Justin Amash, MI"
"Mark Amodei",-29.5029441925,-0.912160086665,-7.24448102514,-1.8548706951,"amodei","mark",66.4169508817,2.24290536419,0.967333089715,0.0326669102853,0.467333089715,1,"NV",2,0,"Mark Amodei, NV"
"Jodey Arrington",-9.12696955053,17.3825536026,3.22873949216,-0.149340953096,"arrington","jodey",48.2822489234,27.8907841949,0.633849630858,0.366150369142,0.133849630858,1,"TX",19,0,"Jodey Arrington, TX"
"Brian Babin",-33.5002450436,-0.365016307269,6.43845280304,2.86705465728,"babin","brian",70.4614990148,3.03458130882,0.958710977572,0.0412890224276,0.458710977572,1,"TX",36,0,"Brian Babin, TX"
"Don Bacon",-8.49556937903,16.210726903,1.75170307579,-1.18335954964,"bacon","don",47.2212571845,28.0140563448,0.627647509784,0.372352490216,0.127647509784,1,"NE",2,0,"Don Bacon, NE"
"Jim Banks",-9.26161068773,17.6473074839,3.89865809288,0.156553461979,"banks","jim",48.5543523306,27.8388005936,0.635585133903,0.364414866097,0.135585133903,1,"IN",3,0,"Jim Banks, IN"
"Lou Barletta",-28.0344689726,-2.08295543556,-7.97594935338,-2.63699163586,"barletta","lou",65.1000313573,2.36360556546,0.964964747332,0.0350352526676,0.464964747332,1,"PA",11,0,"Lou Barletta, PA"
"Andy Barr",-32.8944975738,-0.817213865365,-0.274993494475,2.77553518416,"barr","andy",69.4968116434,1.79464910713,0.974826590896,0.0251734091045,0.474826590896,1,"KY",6,0,"Andy Barr, KY"
"Nanette Barragán",15.0074771587,-15.3600936368,6.67327436035,-3.58150890183,"barragán","nanette",28.8055240877,48.9592284465,0.370418771345,0.629581228655,-0.129581228655,0,"CA",44,0,"Nanette Barragán, CA"
"Joe L. Barton",-32.3743275513,-0.326648554306,0.838234864584,1.42123194561,"barton","joe",68.9758488495,1.36083588216,0.980652544439,0.0193474555611,0.480652544439,1,"TX",6,0,"Joe L. Barton, TX"
"Karen Bass",37.5471655243,0.617698080508,0.321113350198,-3.56751947438,"bass","karen",1.88449997817,66.8539594205,0.0274155108313,0.972584489169,-0.472584489169,0,"CA",37,0,"Karen Bass, CA"
"Joyce Beatty",38.8125035249,1.02062673972,-1.92092288937,0.628721253808,"beatty","joyce",0.577775291595,67.7473451137,0.00845626452127,0.991543735479,-0.491543735479,0,"OH",3,0,"Joyce Beatty, OH"
"Ami Bera",34.7421589141,-1.11704769839,-5.03673377222,9.765110234,"bera","ami",5.23066616377,63.2904694816,0.0763365363768,0.923663463623,-0.423663463623,0,"CA",7,0,"Ami Bera, CA"
"Jack Bergman",-8.63795005078,16.5272901939,2.07736095423,-0.938742171826,"bergman","jack",47.4705744537,28.0046362347,0.628955838887,0.371044161113,0.128955838887,1,"MI",1,0,"Jack Bergman, MI"
"Donald Beyer",37.7092456879,0.833017898967,-0.868195192029,0.215692114453,"beyer","donald",0.832256359541,66.8146045968,0.0123029560836,0.987697043916,-0.487697043916,0,"VA",8,0,"Donald Beyer, VA"
"Andy Biggs",-9.0631030415,17.4532539978,4.14849639493,0.138621596715,"biggs","andy",48.3309911101,27.8450854881,0.634464168652,0.365535831348,0.134464168652,1,"AZ",5,0,"Andy Biggs, AZ"
"Gus Bilirakis",-32.5995886594,-1.22416269256,1.65654108556,1.96063236786,"bilirakis","gus",69.264927955,2.19647655967,0.969263456623,0.0307365433774,0.469263456623,1,"FL",12,0,"Gus Bilirakis, FL"
"Sanford D. Bishop Jr.",31.5520667086,-2.90724686051,-4.23551281491,7.74456499084,"jr.","sanford",7.90760156978,60.2473609299,0.116023856221,0.883976143779,-0.383976143779,0,"GA",2,0,"Sanford D. Bishop Jr., GA"
"Mike Bishop",-32.0347254167,-0.686151437367,-2.67753066731,0.813525516255,"bishop","mike",68.6533486879,1.12329664028,0.983901538473,0.0160984615268,0.483901538473,1,"MI",8,0,"Mike Bishop, MI"
"Rob Bishop",-31.2711647897,-0.21239152205,1.93808249823,2.27726167696,"bishop","rob",67.9062145023,1.7899390291,0.974317965362,0.0256820346376,0.474317965362,1,"UT",1,0,"Rob Bishop, UT"
"Diane Black",-31.7273701981,-1.00034681278,4.44181716217,3.33951374799,"black","diane",68.5429949741,3.97142805741,0.945232577308,0.0547674226916,0.445232577308,1,"TN",6,0,"Diane Black, TN"
"Marsha Blackburn",-33.4655460589,-0.024061991753,5.93691382426,3.19312303005,"blackburn","marsha",70.3649588754,3.15942504312,0.957028881104,0.0429711188961,0.457028881104,1,"TN",7,0,"Marsha Blackburn, TN"
"Rod Blum",-30.1103066596,-0.833783427715,4.41584567453,-0.679906827805,"blum","rod",66.9228700452,4.01197277581,0.943441437011,0.056558562989,0.443441437011,1,"IA",1,0,"Rod Blum, IA"
"Earl Blumenauer",38.7422012314,1.36963262381,2.70423267876,-5.16318104019,"blumenauer","earl",0.39754746259,68.5130307068,0.00576903391541,0.994230966085,-0.494230966085,0,"OR",3,0,"Earl Blumenauer, OR"
"Lisa Blunt Rochester",15.1630127131,-15.8216790337,6.27740702965,-2.3266822443,"rochester","lisa",28.8742549064,49.2293497719,0.369691706616,0.630308293384,-0.130308293384,0,"DE",1,0,"Lisa Blunt Rochester, DE"
"Suzanne Bonamici",39.7553615094,1.19210100383,1.08543860094,-2.63791248649,"bonamici","suzanne",0.791103574476,69.1791170969,0.0113062895455,0.988693710454,-0.488693710454,0,"OR",1,0,"Suzanne Bonamici, OR"
"Mike Bost",-28.8235416088,-1.0467534102,-9.50605727034,-2.23464955502,"bost","mike",66.0056390999,1.33781178426,0.980134493159,0.0198655068414,0.480134493159,1,"IL",12,0,"Mike Bost, IL"
"Brendan Boyle",37.1166159823,0.373082031541,-1.49978292071,2.35901607936,"boyle","brendan",1.29014423369,66.1189495944,0.0191390235416,0.980860976458,-0.480860976458,0,"PA",13,0,"Brendan Boyle, PA"
"Robert A. Brady",38.2238414244,1.08178846816,-0.443952799285,-0.988767443226,"brady","robert",1.00752547457,67.3988944183,0.0147285222081,0.985271477792,-0.485271477792,0,"PA",1,0,"Robert A. Brady, PA"
"Kevin Brady",-32.1211063167,-1.09907867306,-0.597950076724,2.54956598784,"brady","kevin",68.7352370219,1.37041177209,0.980452191861,0.019547808139,0.480452191861,1,"TX",8,0,"Kevin Brady, TX"
"David A. Brat",-32.7493016655,0.703672938913,9.87400584056,0.951126313992,"brat","david",70.1272622687,0.969576334025,0.986362595678,0.0136374043218,0.486362595678,1,"VA",7,0,"David A. Brat, VA"
"Jim Bridenstine",-29.0509949739,-5.90661686172,5.57766220204,-0.378256786632,"bridenstine","jim",66.4008774191,7.49718716331,0.898546907748,0.101453092252,0.398546907748,1,"OK",1,0,"Jim Bridenstine, OK"
"Mo Brooks",-30.3128462671,0.486795383456,8.95805399751,-0.809462762618,"brooks","mo",67.5871747905,1.43644339828,0.979189103151,0.0208108968491,0.479189103151,1,"AL",5,0,"Mo Brooks, AL"
"Susan Brooks",-30.9924749394,-1.76230648796,-6.8366417104,-0.566416044121,"brooks","susan",67.9057590832,1.02742726007,0.985095317443,0.0149046825568,0.485095317443,1,"IN",5,0,"Susan Brooks, IN"
"Anthony Brown",15.1288838789,-15.6877939077,6.34762701954,-2.72713941036,"brown","anthony",28.8335768664,49.1642768691,0.369671413834,0.630328586166,-0.130328586166,0,"MD",4,0,"Anthony Brown, MD"
"Julia Brownley",36.4933341667,-1.08180356293,-4.25948665547,7.96798115026,"brownley","julia",3.64873030414,65.1167108052,0.0530605235025,0.946939476497,-0.446939476497,0,"CA",26,0,"Julia Brownley, CA"
"Vern Buchanan",-28.0902799429,-0.343083821935,-5.28771041342,-1.73145996962,"buchanan","vern",64.8249263685,4.05640593499,0.941110228282,0.0588897717181,0.441110228282,1,"FL",16,0,"Vern Buchanan, FL"
"Ken Buck",-31.3144720879,1.28318718923,8.16881528984,0.296364182462,"buck","ken",68.453622711,0.499784866252,0.992751846735,0.00724815326484,0.492751846735,1,"CO",4,0,"Ken Buck, CO"
"Larry Bucshon",-31.1220930645,-2.14815380386,-7.18367288525,-1.07142053878,"bucshon","larry",68.0896847185,0.969384500073,0.985962966037,0.014037033963,0.485962966037,1,"IN",8,0,"Larry Bucshon, IN"
"Ted Budd",-9.37803466758,17.8466996807,3.96603637464,0.344566800391,"budd","ted",48.7343456316,27.858514037,0.636277922543,0.363722077457,0.136277922543,1,"NC",13,0,"Ted Budd, NC"
"Michael C. Burgess",-32.6722002054,0.188113532924,8.63045231178,-1.03998096481,"burgess","michael",69.8843045659,1.08863996841,0.98466119765,0.01533880235,0.48466119765,1,"TX",26,0,"Michael C. Burgess, TX"
"Cheri Bustos",35.8015073485,-1.48479589799,-5.19246352487,9.07030027646,"bustos","cheri",4.85572974763,64.3302249422,0.0701837500025,0.929816249997,-0.429816249997,0,"IL",17,0,"Cheri Bustos, IL"
"G. K. Butterfield",37.9216130793,-0.251457026409,-1.80182206725,0.374621375155,"butterfield","g.",1.15090137146,66.8597069916,0.0169223801869,0.983077619813,-0.483077619813,0,"NC",1,0,"G. K. Butterfield, NC"
"Bradley Byrne",-32.7715731012,-0.0400510212668,1.01485154093,2.41931655397,"byrne","bradley",69.3673023213,1.8321198511,0.974267770788,0.025732229212,0.474267770788,1,"AL",1,0,"Bradley Byrne, AL"
"Ken Calvert",-30.5860834416,-1.12737623857,-9.34997558782,-1.81287984752,"calvert","ken",67.7355299231,1.38093582512,0.980020161474,0.0199798385257,0.480020161474,1,"CA",42,0,"Ken Calvert, CA"
"Michael E. Capuano",39.4758543774,1.35551629504,1.65131976601,-4.23212657611,"capuano","michael",0.607636841341,69.0173680412,0.00872727897637,0.991272721024,-0.491272721024,0,"MA",7,0,"Michael E. Capuano, MA"
"Salud Carbajal",14.6097077573,-15.3200809651,5.96362393179,-1.66250741178,"carbajal","salud",28.9037803882,48.5139750957,0.373348209432,0.626651790568,-0.126651790568,0,"CA",24,0,"Salud Carbajal, CA"
"Tony Cardenas",37.0880519185,-0.25992074765,0.808116192247,0.297022648462,"cardenas","tony",2.71199602786,66.4786762193,0.0391959774314,0.960804022569,-0.460804022569,0,"CA",29,0,"Tony Cardenas, CA"
"André Carson",39.0348038762,1.0668561878,-0.507247615567,-2.04970412,"carson","andré",0.252514136708,68.1872646796,0.00368958142582,0.996310418574,-0.496310418574,0,"IN",7,0,"André Carson, IN"
"Buddy Carter",-32.8435056866,-0.863196771719,2.50559479924,2.35865082443,"carter","buddy",69.5274432015,2.89533645518,0.960021743588,0.0399782564119,0.460021743588,1,"GA",1,0,"Buddy Carter, GA"
"John Carter",-31.0786141705,0.0220983692724,-1.95509036314,1.60858758281,"carter","john",67.6562031118,2.03809834879,0.970756599807,0.0292434001931,0.470756599807,1,"TX",31,0,"John Carter, TX"
"Matt Cartwright",38.5925295624,0.692107150306,-1.07210802935,0.636175828723,"cartwright","matt",0.384189568844,67.6500381505,0.00564700418779,0.994352995812,-0.494352995812,0,"PA",17,0,"Matt Cartwright, PA"
"Kathy Castor",38.7644888076,1.06625911399,-0.91050049333,0.0348599469484,"castor","kathy",0.705537001375,67.8551883799,0.0102906875248,0.989709312475,-0.489709312475,0,"FL",14,0,"Kathy Castor, FL"
"Joaquín Castro",37.6496747646,-0.151191004785,-0.469793719684,0.220130121856,"castro","joaquín",1.44600896028,66.8037881609,0.0211870074531,0.978812992547,-0.478812992547,0,"TX",20,0,"Joaquín Castro, TX"
"Steven J. Chabot",-34.1054942088,-0.468575456534,4.60955235688,3.8708424881,"chabot","steven",70.9021578398,4.61377582946,0.938903280337,0.0610967196627,0.438903280337,1,"OH",1,0,"Steven J. Chabot, OH"
"Liz Cheney",-8.95557781798,17.0642996294,2.8004382485,-0.27017650261,"cheney","liz",47.9862662557,27.9151612525,0.632218231343,0.367781768657,0.132218231343,1,"WY",1,0,"Liz Cheney, WY"
"Judy Chu",39.1407389971,1.02030839265,0.764693731168,-4.46334918892,"chu","judy",1.14388634246,68.5112364222,0.0164221423646,0.983577857635,-0.483577857635,0,"CA",27,0,"Judy Chu, CA"
"David Cicilline",39.8966916137,1.03441586815,0.100445431795,-1.77901713556,"cicilline","david",0.803180158029,69.1377831786,0.0114836873802,0.98851631262,-0.48851631262,0,"RI",1,0,"David Cicilline, RI"
"Katherine Clark",39.973607652,2.21931213799,1.64487050174,-4.77032729762,"clark","katherine",0.920992453647,69.5374871289,0.0130714210568,0.986928578943,-0.486928578943,0,"MA",5,0,"Katherine Clark, MA"
"Yvette D. Clarke",40.165609724,1.62481657792,1.52502221802,-4.79889512528,"clarke","yvette",0.428102950592,69.6787920354,0.0061064314812,0.993893568519,-0.493893568519,0,"NY",9,0,"Yvette D. Clarke, NY"
"William Lacy Clay",38.7083251519,0.689797081249,-0.163970401189,-0.94011871283,"clay","william",0.683837409684,67.9132883938,0.00996889303559,0.990031106964,-0.490031106964,0,"MO",1,0,"William Lacy Clay, MO"
"Emanuel Cleaver II",35.3194256224,1.11841556443,-0.437742970494,-1.01443748705,"ii","emanuel",1.70330656464,64.5409919435,0.0257125005925,0.974287499407,-0.474287499407,0,"MO",5,0,"Emanuel Cleaver II, MO"
"James E. Clyburn",36.7274555673,2.06523859252,-1.20790713256,1.08516829853,"clyburn","james",0.422210421175,65.8349856094,0.00637229533499,0.993627704665,-0.493627704665,0,"SC",6,0,"James E. Clyburn, SC"
"Mike Coffman",-31.1100400637,-0.982217177464,-0.254932928579,0.914033881972,"coffman","mike",67.7219962103,0.69687139884,0.989814631209,0.0101853687907,0.489814631209,1,"CO",6,0,"Mike Coffman, CO"
"Steve Cohen",38.8908204434,0.979329224321,1.77390635631,-3.32330776074,"cohen","steve",0.932893002835,68.4566712758,0.0134442839141,0.986555716086,-0.486555716086,0,"TN",9,0,"Steve Cohen, TN"
"Tom Cole",-29.6502921344,-2.08030459358,-9.70098261446,-2.47247826414,"cole","tom",66.908476737,0,1,0,0.5,1,"OK",4,0,"Tom Cole, OK"
"Doug Collins",-33.2634792653,-0.407806949736,5.12088635613,2.46060702805,"collins","doug",70.1028607162,3.71236887565,0.949707277263,0.0502927227373,0.449707277263,1,"GA",9,0,"Doug Collins, GA"
"Chris Collins",-30.2252102327,-1.71571170988,-6.61385648056,-1.38550575715,"collins","chris",67.1206625549,1.64258772778,0.976112418755,0.0238875812447,0.476112418755,1,"NY",27,0,"Chris Collins, NY"
"James Comer",-9.70838097321,17.1702414512,3.62523686517,-0.118768420767,"comer","james",48.8019364101,27.2424031603,0.641756331711,0.358243668289,0.141756331711,1,"KY",1,0,"James Comer, KY"
"Barbara Comstock",-29.052071865,-2.00619649385,-9.91391684371,-2.38364126783,"comstock","barbara",66.340707521,0.639296869354,0.990455407175,0.00954459282546,0.490455407175,1,"VA",10,0,"Barbara Comstock, VA"
"K. Michael Conaway",-33.673577436,-0.931858453528,2.18154708274,3.13966614678,"conaway","k.",70.3439730367,3.23351177265,0.956052972169,0.043947027831,0.456052972169,1,"TX",11,0,"K. Michael Conaway, TX"
"Gerald E. Connolly",38.0599204676,0.0306526404019,-2.45774537837,3.73191802924,"connolly","gerald",1.10977092597,66.9055342835,0.0163164882162,0.983683511784,-0.483683511784,0,"VA",11,0,"Gerald E. Connolly, VA"
"John Conyers Jr.",39.1028155567,0.889665031187,1.44977902245,-4.53757987449,"jr.","john",1.10859325743,68.5989441527,0.0159034919123,0.984096508088,-0.484096508088,0,"MI",13,0,"John Conyers Jr., MI"
"Paul Cook",-31.0300403644,-2.17594627997,-5.77461539354,-0.981217029566,"cook","paul",67.8837369697,1.09329909206,0.98414981051,0.0158501894904,0.48414981051,1,"CA",8,0,"Paul Cook, CA"
"Jim Cooper",29.9694724385,-1.76537785327,-3.65982218023,9.65551598149,"cooper","jim",8.17472872671,58.7267459797,0.122190561009,0.877809438991,-0.377809438991,0,"TN",5,0,"Jim Cooper, TN"
"J. Luis Correa",13.321563664,-13.7257606774,5.50979277773,-0.280250705577,"correa","j.",28.8815498983,46.7531141512,0.381855995016,0.618144004984,-0.118144004984,0,"CA",46,0,"J. Luis Correa, CA"
"Jim Costa",19.0116413002,-1.27272793303,-5.90197075443,12.1930643858,"costa","jim",18.5626347717,47.5648739676,0.280709724676,0.719290275324,-0.219290275324,0,"CA",16,0,"Jim Costa, CA"
"Ryan Costello",-22.4965765911,-1.98845996379,-14.5785252834,-5.87554236712,"costello","ryan",60.7465232267,6.45336102601,0.903967676466,0.0960323235341,0.403967676466,1,"PA",6,0,"Ryan Costello, PA"
"Joe Courtney",38.0308092452,0.227575763263,-2.49869102616,3.77677550395,"courtney","joe",1.0136442654,66.8740363405,0.0149311960042,0.985068803996,-0.485068803996,0,"CT",2,0,"Joe Courtney, CT"
"Kevin Cramer",-31.2654614982,-0.949647167193,-4.1583400414,0.267225671814,"cramer","kevin",67.9523891643,2.26552828108,0.967735752305,0.032264247695,0.467735752305,1,"ND",1,0,"Kevin Cramer, ND"
"Rick Crawford",-31.6565069593,-0.262016987697,-1.8713474436,1.9204212604,"crawford","rick",68.2422319114,1.44808476913,0.979221148101,0.0207788518994,0.479221148101,1,"AR",1,0,"Rick Crawford, AR"
"Charlie Crist",12.4894719833,-12.6427039412,5.80271345013,-0.427994556782,"crist","charlie",29.049880811,45.7106181827,0.388572591168,0.611427408832,-0.111427408832,0,"FL",13,0,"Charlie Crist, FL"
"Joseph Crowley",38.6955096748,0.956949559064,-0.201020773931,-0.798137956516,"crowley","joseph",0.587281793675,67.9010986753,0.00857491138868,0.991425088611,-0.491425088611,0,"NY",14,0,"Joseph Crowley, NY"
"Henry Cuellar",19.8170246941,-4.25287095797,-7.85282266683,15.2725599746,"cuellar","henry",19.2405197285,48.2830484708,0.284945245662,0.715054754338,-0.215054754338,0,"TX",28,0,"Henry Cuellar, TX"
"John Culberson",-31.4577163939,-0.113620830414,-0.0790162844854,1.02408314161,"culberson","john",68.0356102682,0.476963236822,0.993038310891,0.00696168910932,0.493038310891,1,"TX",7,0,"John Culberson, TX"
"Elijah E. Cummings",35.2527502064,7.93887417397,0.805188401255,-0.674712153093,"cummings","elijah",6.08453013341,65.2737558874,0.0852673245492,0.914732675451,-0.414732675451,0,"MD",7,0,"Elijah E. Cummings, MD"
"Carlos Curbelo",-18.9517998992,-1.01159915426,-13.0358037219,-5.55754769599,"curbelo","carlos",56.8947504874,9.32944760953,0.859123283065,0.140876716935,0.359123283065,1,"FL",26,0,"Carlos Curbelo, FL"
"John Curtis",2.83374332295,1.20150995654,5.22883975092,-1.56012785997,"curtis","john",34.2624360009,34.0899105768,0.501262030002,0.498737969998,0.00126203000152,1,"UT",3,0,"John Curtis, UT"
"Warren Davidson",-15.1567649657,13.6228778846,5.73728328427,0.242152275466,"davidson","warren",53.3409176142,20.540968597,0.721975579531,0.278024420469,0.221975579531,1,"OH",8,0,"Warren Davidson, OH"
"Susan A. Davis",38.4459720453,1.10911751696,-2.64522053273,2.67997598513,"davis","susan",0.961051334455,67.2856227052,0.0140820244793,0.985917975521,-0.485917975521,0,"CA",53,0,"Susan A. Davis, CA"
"Danny K. Davis",38.4676483833,1.93342372653,0.0843351683279,-2.57740859696,"davis","danny",1.26298643356,67.759597182,0.0182981622448,0.981701837755,-0.481701837755,0,"IL",7,0,"Danny K. Davis, IL"
"Rodney Davis",-27.9499998862,-2.3222767627,-10.6820699152,-4.03078011097,"davis","rodney",65.3835241583,1.80063482715,0.973198520985,0.0268014790145,0.473198520985,1,"IL",13,0,"Rodney Davis, IL"
"Peter A. DeFazio",36.0294824449,-0.303257472589,2.84487220951,-1.47266455114,"defazio","peter",3.41319502412,65.8602431762,0.0492713385216,0.950728661478,-0.450728661478,0,"OR",4,0,"Peter A. DeFazio, OR"
"Diana DeGette",38.7597316419,2.94436699237,0.925119881594,-0.427698297291,"degette","diana",2.2093260045,68.2475201201,0.0313571515903,0.96864284841,-0.46864284841,0,"CO",1,0,"Diana DeGette, CO"
"John Delaney",34.4918096564,-2.05752816632,-4.0169562463,7.04746398875,"delaney","john",5.29830554163,63.1686048317,0.0773849077275,0.922615092272,-0.422615092272,0,"MD",6,0,"John Delaney, MD"
"Rosa DeLauro",37.3009581496,2.28433388964,0.143053963355,0.123389558567,"delauro","rosa",1.27431858105,66.6384443625,0.0187640514951,0.981235948505,-0.481235948505,0,"CT",3,0,"Rosa DeLauro, CT"
"Suzan K. DelBene",38.7901851555,0.265373222225,-1.80434780538,2.7304008983,"delbene","suzan",0.586033343382,67.7251805026,0.00857887468818,0.991421125312,-0.491421125312,0,"WA",1,0,"Suzan K. DelBene, WA"
"Val Demings",15.0246009395,-15.6122702811,6.3018445813,-2.55850967213,"demings","val",28.8529050383,49.0368434769,0.370432638291,0.629567361709,-0.129567361709,0,"FL",10,0,"Val Demings, FL"
"Jeffrey Denham",-28.5188840723,-1.39483395813,-11.3160202327,-3.37236277623,"denham","jeffrey",65.9844489883,0.740029637023,0.988909173181,0.011090826819,0.488909173181,1,"CA",10,0,"Jeffrey Denham, CA"
"Charlie Dent",-25.9162763241,-1.73775656504,-12.8451786353,-4.04267373574,"dent","charlie",63.7102522723,2.66390981716,0.95986525881,0.04013474119,0.45986525881,1,"PA",15,0,"Charlie Dent, PA"
"Ron DeSantis",-32.5888483984,-0.917233165618,6.26449159512,2.23690761468,"desantis","ron",69.5604592792,2.82957793389,0.960912053056,0.0390879469444,0.460912053056,1,"FL",6,0,"Ron DeSantis, FL"
"Mark DeSaulnier",39.9980764284,1.25020910643,0.964795081572,-3.49705558866,"desaulnier","mark",0.843975919331,69.3970889118,0.0120154203436,0.987984579656,-0.487984579656,0,"CA",11,0,"Mark DeSaulnier, CA"
"Scott DesJarlais",-32.6122429506,0.856121134668,10.1861267197,1.0305294811,"desjarlais","scott",70.0372992849,1.10932725639,0.984407872723,0.0155921272774,0.484407872723,1,"TN",4,0,"Scott DesJarlais, TN"
