,district,member_id,name,party,state
0,5,A000374,Ralph Abraham,R,LA
1,12,A000370,Alma Adams,D,NC
2,4,A000055,Robert B. Aderholt,R,AL
3,31,A000371,Pete Aguilar,D,CA
4,12,A000372,Rick Allen,R,GA
5,3,A000367,Justin Amash,R,MI
6,2,A000369,Mark Amodei,R,NV
7,19,A000375,Jodey Arrington,R,TX
8,36,B001291,Brian Babin,R,TX
9,2,B001298,Don Bacon,R,NE
10,3,B001299,Jim Banks,R,IN
11,11,B001269,Lou Barletta,R,PA
12,6,B001282,Andy Barr,R,KY
13,44,B001300,Nanette Barragán,D,CA
14,6,B000213,Joe L. Barton,R,TX
15,37,B001270,Karen Bass,D,CA
16,3,B001281,Joyce Beatty,D,OH
17,7,B001287,Ami Bera,D,CA
18,1,B001301,Jack Bergman,R,MI
19,8,B001292,Donald Beyer,D,VA
20,5,B001302,Andy Biggs,R,AZ
21,12,B001257,Gus Bilirakis,R,FL
22,2,B000490,Sanford D. Bishop Jr.,D,GA
23,8,B001293,Mike Bishop,R,MI
24,1,B001250,Rob Bishop,R,UT
25,6,B001273,Diane Black,R,TN
26,7,B001243,Marsha Blackburn,R,TN
27,1,B001294,Rod Blum,R,IA
28,3,B000574,Earl Blumenauer,D,OR
29,1,B001303,Lisa Blunt Rochester,D,DE
30,1,B001278,Suzanne Bonamici,D,OR
31,12,B001295,Mike Bost,R,IL
32,13,B001296,Brendan Boyle,D,PA
33,1,B001227,Robert A. Brady,D,PA
34,8,B000755,Kevin Brady,R,TX
35,7,B001290,David A. Brat,R,VA
36,1,B001283,Jim Bridenstine,R,OK
37,5,B001274,Mo Brooks,R,AL
38,5,B001284,Susan Brooks,R,IN
39,4,B001304,Anthony Brown,D,MD
40,26,B001285,Julia Brownley,D,CA
41,16,B001260,Vern Buchanan,R,FL
42,4,B001297,Ken Buck,R,CO
43,8,B001275,Larry Bucshon,R,IN
44,13,B001305,Ted Budd,R,NC
45,26,B001248,Michael C. Burgess,R,TX
46,17,B001286,Cheri Bustos,D,IL
47,1,B001251,G. K. Butterfield,D,NC
48,1,B001289,Bradley Byrne,R,AL
49,42,C000059,Ken Calvert,R,CA
50,7,C001037,Michael E. Capuano,D,MA
51,24,C001112,Salud Carbajal,D,CA
52,29,C001097,Tony Cardenas,D,CA
53,7,C001072,André Carson,D,IN
54,1,C001103,Buddy Carter,R,GA
55,31,C001051,John Carter,R,TX
56,17,C001090,Matt Cartwright,D,PA
57,14,C001066,Kathy Castor,D,FL
58,20,C001091,Joaquín Castro,D,TX
59,1,C000266,Steven J. Chabot,R,OH
60,1,C001109,Liz Cheney,R,WY
61,27,C001080,Judy Chu,D,CA
62,1,C001084,David Cicilline,D,RI
63,5,C001101,Katherine Clark,D,MA
64,9,C001067,Yvette D. Clarke,D,NY
65,1,C001049,William Lacy Clay,D,MO
66,5,C001061,Emanuel Cleaver II,D,MO
67,6,C000537,James E. Clyburn,D,SC
68,6,C001077,Mike Coffman,R,CO
69,9,C001068,Steve Cohen,D,TN
70,4,C001053,Tom Cole,R,OK
71,9,C001093,Doug Collins,R,GA
72,27,C001092,Chris Collins,R,NY
73,1,C001108,James Comer,R,KY
74,10,C001105,Barbara Comstock,R,VA
75,11,C001062,K. Michael Conaway,R,TX
76,11,C001078,Gerald E. Connolly,D,VA
77,13,C000714,John Conyers Jr.,D,MI
78,8,C001094,Paul Cook,R,CA
79,5,C000754,Jim Cooper,D,TN
80,46,C001110,J. Luis Correa,D,CA
81,16,C001059,Jim Costa,D,CA
82,6,C001106,Ryan Costello,R,PA
83,2,C001069,Joe Courtney,D,CT
84,1,C001096,Kevin Cramer,R,ND
85,1,C001087,Rick Crawford,R,AR
86,13,C001111,Charlie Crist,D,FL
87,14,C001038,Joseph Crowley,D,NY
88,28,C001063,Henry Cuellar,D,TX
89,7,C001048,John Culberson,R,TX
90,7,C000984,Elijah E. Cummings,D,MD
91,26,C001107,Carlos Curbelo,R,FL
92,3,C001114,John Curtis,R,UT
93,8,D000626,Warren Davidson,R,OH
94,53,D000598,Susan A. Davis,D,CA
95,7,D000096,Danny K. Davis,D,IL
96,13,D000619,Rodney Davis,R,IL
97,4,D000191,Peter A. DeFazio,D,OR
98,1,D000197,Diana DeGette,D,CO
99,6,D000620,John Delaney,D,MD
100,3,D000216,Rosa DeLauro,D,CT
101,1,D000617,Suzan K. DelBene,D,WA
102,10,D000627,Val Demings,D,FL
103,10,D000612,Jeffrey Denham,R,CA
104,15,D000604,Charlie Dent,R,PA
105,6,D000621,Ron DeSantis,R,FL
106,11,D000623,Mark DeSaulnier,D,CA
107,4,D000616,Scott DesJarlais,R,TN
108,22,D000610,Ted Deutch,D,FL
109,25,D000600,Mario Diaz-Balart,R,FL
110,12,D000624,Debbie Dingell,D,MI
111,35,D000399,Lloyd Doggett,D,TX
112,11,D000625,Daniel M. Donovan,R,NY
113,14,D000482,Mike Doyle,D,PA
114,7,D000614,Sean Duffy,R,WI
115,3,D000615,Jeffrey Duncan,R,SC
116,2,D000533,John J. Duncan Jr.,R,TN
117,2,D000628,Neal Dunn,R,FL
118,5,E000288,Keith Ellison,D,MN
119,6,E000294,Tom Emmer,R,MN
120,16,E000179,Eliot L. Engel,D,NY
121,18,E000215,Anna G. Eshoo,D,CA
122,13,E000297,Adriano Espaillat,D,NY
123,4,E000298,Ron Estes,R,KS
124,5,E000293,Elizabeth Esty,D,CT
125,2,E000296,Dwight Evans,D,PA
126,27,F000460,Blake Farenthold,R,TX
127,19,F000464,John Faso,R,NY
128,3,F000465,A. Drew Ferguson,R,GA
129,8,F000466,Brian Fitzpatrick,R,PA
130,3,F000459,Chuck Fleischmann,R,TN
131,17,F000461,Bill Flores,R,TX
132,1,F000449,Jeff Fortenberry,R,NE
133,11,F000454,Bill Foster,D,IL
134,5,F000450,Virginia Foxx,R,NC
135,21,F000462,Lois Frankel,D,FL
136,8,F000448,Trent Franks,R,AZ
137,11,F000372,Rodney Frelinghuysen,R,NJ
138,11,F000455,Marcia L. Fudge,D,OH
139,2,G000571,Tulsi Gabbard,D,HI
140,1,G000578,Matt Gaetz,R,FL
141,8,G000579,Mike Gallagher,R,WI
142,7,G000574,Ruben Gallego,D,AZ
143,3,G000559,John Garamendi,D,CA
144,5,G000580,Thomas Garrett,R,VA
145,1,G000584,Greg Gianforte,R,MT
146,7,G000563,Bob Gibbs,R,OH
147,1,G000552,Louie Gohmert,R,TX
148,34,G000585,Jimmy Gomez,D,CA
149,15,G000581,Vicente Gonzalez,D,TX
150,6,G000289,Robert W. Goodlatte,R,VA
151,4,G000565,Paul Gosar,R,AZ
152,5,G000583,Josh Gottheimer,D,NJ
153,4,G000566,Trey Gowdy,R,SC
154,12,G000377,Kay Granger,R,TX
155,14,G000560,Tom Graves,R,GA
156,6,G000577,Garret Graves,R,LA
157,6,G000546,Sam Graves,R,MO
158,9,G000553,Al Green,D,TX
159,29,G000410,Gene Green,D,TX
160,9,G000568,Morgan Griffith,R,VA
161,3,G000551,Raúl M. Grijalva,D,AZ
162,6,G000576,Glenn Grothman,R,WI
163,2,G000558,Brett Guthrie,R,KY
164,4,G000535,Luis V. Gutiérrez,D,IL
165,1,H001050,Colleen Hanabusa,D,HI
166,6,H001078,Karen Handel,R,GA
167,3,H001045,Gregg Harper,R,MS
168,1,H001052,Andy Harris,R,MD
169,4,H001053,Vicky Hartzler,R,MO
170,20,H000324,Alcee L. Hastings,D,FL
171,10,H001064,Denny Heck,D,WA
172,5,H001036,Jeb Hensarling,R,TX
173,3,H001056,Jaime Herrera Beutler,R,WA
174,10,H001071,Jody Hice,R,GA
175,3,H001077,Clay Higgins,R,LA
176,26,H001038,Brian Higgins,D,NY
177,2,H001072,French Hill,R,AR
178,4,H001047,Jim Himes,D,CT
179,2,H001065,George Holding,R,NC
180,9,H001074,Trey Hollingsworth,R,IN
181,5,H000874,Steny H. Hoyer,D,MD
182,8,H001067,Richard Hudson,R,NC
183,2,H001068,Jared Huffman,D,CA
184,2,H001058,Bill Huizenga,R,MI
185,14,H001059,Randy Hultgren,R,IL
186,50,H001048,Duncan D. Hunter,R,CA
187,23,H001073,Will Hurd,R,TX
188,49,I000056,Darrell Issa,R,CA
189,18,J000032,Sheila Jackson Lee,D,TX
190,7,J000298,Pramila Jayapal,D,WA
191,8,J000294,Hakeem Jeffries,D,NY
192,2,J000290,Lynn Jenkins,R,KS
193,3,J000297,Evan Jenkins,R,WV
194,4,J000288,Hank Johnson,D,GA
195,4,J000299,Mike Johnson,R,LA
196,6,J000292,Bill Johnson,R,OH
197,30,J000126,Eddie Bernice Johnson,D,TX
198,3,J000174,Sam Johnson,R,TX
199,3,J000255,Walter B. Jones,R,NC
200,4,J000289,Jim Jordan,R,OH
201,14,J000295,Dave Joyce,R,OH
202,9,K000009,Marcy Kaptur,D,OH
203,24,K000386,John Katko,R,NY
204,9,K000375,Bill Keating,D,MA
205,2,K000385,Robin Kelly,D,IL
206,1,K000388,Trent Kelly,R,MS
207,3,K000376,Mike Kelly,R,PA
208,4,K000379,Joseph P. Kennedy III,D,MA
209,17,K000389,Ro Khanna,D,CA
210,4,K000390,Ruben Kihuen,D,NV
211,5,K000380,Dan Kildee,D,MI
212,6,K000381,Derek Kilmer,D,WA
213,3,K000188,Ron Kind,D,WI
214,4,K000362,Steve King,R,IA
215,2,K000210,Peter T. King,R,NY
216,16,K000378,Adam Kinzinger,R,IL
217,25,K000387,Steve Knight,R,CA
218,8,K000391,Raja Krishnamoorthi,D,IL
219,2,K000382,Ann McLane Kuster,D,NH
220,8,K000392,David Kustoff,R,TN
221,1,L000573,Raúl Labrador,R,ID
222,18,L000585,Darin M. LaHood,R,IL
223,1,L000578,Doug LaMalfa,R,CA
224,5,L000564,Doug Lamborn,R,CO
225,7,L000567,Leonard Lance,R,NJ
226,2,L000559,Jim Langevin,D,RI
227,2,L000560,Rick Larsen,D,WA
228,1,L000557,John B. Larson,D,CT
229,5,L000566,Robert E. Latta,R,OH
230,14,L000581,Brenda Lawrence,D,MI
231,5,L000586,Al Lawson,D,FL
232,13,L000551,Barbara Lee,D,CA
233,9,L000263,Sander M. Levin,D,MI
234,5,L000287,John Lewis,D,GA
235,2,L000587,Jason Lewis,R,MN
236,33,L000582,Ted Lieu,D,CA
237,3,L000563,Daniel Lipinski,D,IL
238,2,L000554,Frank A. LoBiondo,R,NJ
239,2,L000565,Dave Loebsack,D,IA
240,19,L000397,Zoe Lofgren,D,CA
241,7,L000576,Billy Long,R,MO
242,11,L000583,Barry Loudermilk,R,GA
243,4,L000584,Mia Love,R,UT
244,47,L000579,Alan Lowenthal,D,CA
245,17,L000480,Nita M. Lowey,D,NY
246,3,L000491,Frank D. Lucas,R,OK
247,3,L000569,Blaine Luetkemeyer,R,MO
248,1,L000580,Michelle Lujan Grisham,D,NM
249,3,L000570,Ben Ray Luján,D,NM
250,8,L000562,Stephen F. Lynch,D,MA
251,3,M001193,Tom MacArthur,R,NJ
252,12,M000087,Carolyn B. Maloney,D,NY
253,18,M001185,Sean Patrick Maloney,D,NY
254,24,M001158,Kenny Marchant,R,TX
255,10,M001179,Tom Marino,R,PA
256,1,M001198,Roger Marshall,R,KS
257,4,M001184,Thomas Massie,R,KY
258,18,M001199,Brian Mast,R,FL
259,6,M001163,Doris Matsui,D,CA
260,23,M001165,Kevin McCarthy,R,CA
261,10,M001157,Michael McCaul,R,TX
262,4,M001177,Tom McClintock,R,CA
263,4,M001143,Betty McCollum,D,MN
264,4,M001200,A. Donald McEachin,D,VA
265,2,M000312,Jim McGovern,D,MA
266,10,M001156,Patrick T. McHenry,R,NC
267,1,M001180,David McKinley,R,WV
268,5,M001159,Cathy McMorris Rodgers,R,WA
269,9,M001166,Jerry McNerney,D,CA
270,2,M001197,Martha McSally,R,AZ
271,11,M001187,Mark Meadows,R,NC
272,7,M001181,Pat Meehan,R,PA
273,5,M001137,Gregory W. Meeks,D,NY
274,6,M001188,Grace Meng,D,NY
275,6,M001189,Luke Messer,R,IN
276,10,M001201,Paul Mitchell,R,MI
277,4,M001194,John Moolenaar,R,MI
278,2,M001195,Alex Mooney,R,WV
279,4,M001160,Gwen Moore,D,WI
280,6,M001196,Seth Moulton,D,MA
281,2,M001190,Markwayne Mullin,R,OK
282,7,M001202,Stephanie Murphy,D,FL
283,10,N000002,Jerrold Nadler,D,NY
284,32,N000179,Grace F. Napolitano,D,CA
285,1,N000015,Richard E. Neal,D,MA
286,4,N000189,Dan Newhouse,R,WA
287,1,N000184,Kristi Noem,R,SD
288,8,N000127,Rick Nolan,D,MN
289,1,N000188,Donald W. Norcross,D,NJ
290,5,N000190,Ralph Norman,R,SC
291,22,N000181,Devin Nunes,R,CA
292,1,O000171,Tom O'Halleran,D,AZ
293,16,O000170,Beto O'Rourke,D,TX
294,22,O000168,Pete Olson,R,TX
295,4,P000601,Steven Palazzo,R,MS
296,6,P000034,Frank Pallone,D,NJ
297,6,P000609,Gary Palmer,R,AL
298,20,P000613,Jimmy Panetta,D,CA
299,9,P000096,Bill Pascrell Jr.,D,NJ
300,3,P000594,Erik Paulsen,R,MN
301,10,P000604,Donald M. Payne Jr.,D,NJ
302,2,P000588,Steve Pearce,R,NM
303,12,P000197,Nancy Pelosi,D,CA
304,7,P000593,Ed Perlmutter,D,CO
305,4,P000605,Scott Perry,R,PA
306,52,P000608,Scott Peters,D,CA
307,7,P000258,Collin C. Peterson,D,MN
308,1,P000597,Chellie Pingree,D,ME
309,9,P000606,Robert Pittenger,R,NC
310,2,P000607,Mark Pocan,D,WI
311,2,P000592,Ted Poe,R,TX
312,2,P000611,Bruce Poliquin,R,ME
313,2,P000598,Jared Polis,D,CO
314,8,P000599,Bill Posey,R,FL
315,4,P000523,David E. Price,D,NC
316,5,Q000023,Mike Quigley,D,IL
317,8,R000606,Jamie Raskin,D,MD
318,4,R000601,John Ratcliffe,R,TX
319,23,R000585,Tom Reed,R,NY
320,8,R000578,Dave Reichert,R,WA
321,16,R000586,Jim Renacci,R,OH
322,4,R000602,Kathleen Rice,D,NY
323,7,R000597,Tom Rice,R,SC
324,2,R000588,Cedric Richmond,D,LA
325,2,R000591,Martha Roby,R,AL
326,1,R000582,Phil Roe,R,TN
327,3,R000575,Mike D. Rogers,R,AL
328,5,R000395,Harold Rogers,R,KY
329,48,R000409,Dana Rohrabacher,R,CA
330,4,R000592,Todd Rokita,R,IN
331,19,R000607,Francis Rooney,R,FL
332,17,R000583,Tom Rooney,R,FL
333,27,R000435,Ileana Ros-Lehtinen,R,FL
334,3,R000608,Jacky Rosen,D,NV
335,6,R000580,Peter Roskam,R,IL
336,15,R000593,Dennis Ross,R,FL
337,12,R000598,Keith Rothfus,R,PA
338,7,R000603,David Rouzer,R,NC
339,40,R000486,Lucille Roybal-Allard,D,CA
340,39,R000487,Edward Royce,R,CA
341,36,R000599,Raul Ruiz,D,CA
342,2,R000576,C.A. Dutch Ruppersberger,D,MD
343,1,R000515,Bobby L. Rush,D,IL
344,5,R000604,Steve Russell,R,OK
345,4,R000609,John Rutherford,R,FL
346,13,R000577,Tim Ryan,D,OH
347,1,R000570,Paul D. Ryan,R,WI
348,38,S001156,Linda T. Sánchez,D,CA
349,1,S000051,Mark Sanford,R,SC
350,3,S001168,John Sarbanes,D,MD
351,1,S001176,Steve Scalise,R,LA
352,9,S001145,Jan Schakowsky,D,IL
353,28,S001150,Adam B. Schiff,D,CA
354,10,S001190,Brad Schneider,D,IL
355,5,S001180,Kurt Schrader,D,OR
356,6,S001183,David Schweikert,R,AZ
357,3,S000185,Robert C. Scott,D,VA
358,8,S001189,Austin Scott,R,GA
359,13,S001157,David Scott,D,GA
360,5,S000244,F. James Sensenbrenner,R,WI
361,15,S000248,José E. Serrano,D,NY
362,32,S000250,Pete Sessions,R,TX
363,7,S001185,Terri Sewell,D,AL
364,1,S001170,Carol Shea-Porter,D,NH
365,30,S000344,Brad Sherman,D,CA
366,15,S000364,John Shimkus,R,IL
367,9,S001154,Bill Shuster,R,PA
368,2,S001148,Mike Simpson,R,ID
369,9,S001191,Kyrsten Sinema,D,AZ
370,8,S001165,Albio Sires,D,NJ
371,25,S000480,Louise M. Slaughter,D,NY
372,8,S001195,Jason Smith,R,MO
373,3,S001172,Adrian Smith,R,NE
374,4,S000522,Christopher H. Smith,R,NJ
375,21,S000583,Lamar Smith,R,TX
376,9,S000510,Adam Smith,D,WA
377,16,S001199,Lloyd Smucker,R,PA
378,9,S001200,Darren Soto,D,FL
379,14,S001175,Jackie Speier,D,CA
380,21,S001196,Elise Stefanik,R,NY
381,2,S001192,Chris Stewart,R,UT
382,15,S001187,Steve Stivers,R,OH
383,3,S001201,Thomas Suozzi,D,NY
384,15,S001193,Eric Swalwell,D,CA
385,41,T000472,Mark Takano,D,CA
386,2,T000477,Scott Taylor,R,VA
387,22,T000478,Claudia Tenney,R,NY
388,5,T000460,Mike Thompson,D,CA
389,2,T000193,Bennie Thompson,D,MS
390,5,T000467,Glenn Thompson,R,PA
391,13,T000238,William M. Thornberry,R,TX
392,12,T000462,Pat Tiberi,R,OH
393,3,T000470,Scott Tipton,R,CO
394,1,T000468,Dina Titus,D,NV
395,20,T000469,Paul Tonko,D,NY
396,35,T000474,Norma Torres,D,CA
397,11,T000475,Dave Trott,R,MI
398,3,T000465,Niki Tsongas,D,MA
399,10,T000463,Michael R. Turner,R,OH
400,6,U000031,Fred Upton,R,MI
401,21,V000129,David Valadao,R,CA
402,51,V000130,Juan Vargas,D,CA
403,33,V000131,Marc Veasey,D,TX
404,34,V000132,Filemon Vela,D,TX
405,7,V000081,Nydia M. Velázquez,D,NY
406,1,V000108,Peter J. Visclosky,D,IN
407,2,W000812,Ann Wagner,R,MO
408,7,W000798,Tim Walberg,R,MI
409,2,W000791,Greg Walden,R,OR
410,6,W000819,Mark Walker,R,NC
411,2,W000813,Jackie Walorski,R,IN
412,45,W000820,Mimi Walters,R,CA
413,1,W000799,Tim Walz,D,MN
414,23,W000797,Debbie Wasserman Schultz,D,FL
415,43,W000187,Maxine Waters,D,CA
416,12,W000822,Bonnie Watson Coleman,D,NJ
417,14,W000814,Randy Weber,R,TX
418,11,W000806,Daniel Webster,R,FL
419,1,W000800,Peter Welch,D,VT
420,2,W000815,Brad Wenstrup,R,OH
421,4,W000821,Bruce Westerman,R,AR
422,25,W000816,Roger Williams,R,TX
423,24,W000808,Frederica Wilson,D,FL
424,2,W000795,Joe Wilson,R,SC
425,1,W000804,Robert J. Wittman,R,VA
426,3,W000809,Steve Womack,R,AR
427,7,W000810,Rob Woodall,R,GA
428,3,Y000062,John Yarmuth,D,KY
429,3,Y000063,Kevin Yoder,R,KS
430,3,Y000065,Ted Yoho,R,FL
431,1,Y000033,Don Young,R,AK
432,3,Y000066,David Young,R,IA
433,1,Z000017,Lee Zeldin,R,NY
